room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
13567546,78223094,Private room,,Grey Lynn East,0,,1,1.0,44.0,2.0,-36.862908,174.747583,2016-08-19 19:12:29.271047
216802,1119253,Private room,,Westmere,26,5.0,3,1.0,56.0,2.0,-36.852836,174.718784,2016-08-19 19:03:39.979917
13264735,74695964,Private room,,Westmere,0,,2,1.0,38.0,1.0,-36.857267,174.722532,2016-08-19 19:40:09.534361
12851589,65408787,Private room,,Grey Lynn West,0,,2,1.0,112.0,1.0,-36.860865,174.733955,2016-08-19 18:36:17.093215
216846,1119253,Private room,,Westmere,57,5.0,1,1.0,39.0,2.0,-36.854913,174.71962,2016-08-19 19:26:54.090613
11377647,23833918,Private room,,Ponsonby East,16,4.5,3,1.0,60.0,2.0,-36.855884,174.74159,2016-08-19 18:10:29.710519
12367458,8006757,Private room,,Herne Bay,0,,2,1.0,72.0,1.0,-36.842955,174.733363,2016-08-19 18:53:33.537133
10339793,519366,Private room,,Grey Lynn West,33,5.0,2,1.0,58.0,1.0,-36.862668,174.737778,2016-08-19 19:43:36.609016
10711207,55354272,Private room,,Ponsonby East,4,5.0,3,1.0,94.0,2.0,-36.850742,174.740417,2016-08-19 19:21:11.106059
12595542,68336477,Private room,,Grey Lynn West,0,,1,1.0,64.0,1.0,-36.858424,174.741003,2016-08-19 19:09:32.751014
13866015,40198027,Private room,,Surrey Crescent,5,5.0,2,1.0,23.0,1.0,-36.862663,174.73248,2016-08-19 18:31:28.913085
12954986,71196185,Private room,,Grey Lynn West,0,,2,1.0,60.0,2.0,-36.855702,174.736509,2016-08-19 18:23:14.921166
14098282,53906901,Private room,,Grey Lynn West,0,,2,1.0,53.0,1.0,-36.856515,174.734771,2016-08-19 18:51:22.352211
10884648,24563785,Private room,,Te Atatu Central,5,5.0,2,1.0,75.0,1.0,-36.843192,174.654771,2016-08-19 19:46:23.103952
14525044,32532013,Private room,,Grey Lynn West,0,,2,1.0,23.0,2.0,-36.857245,174.733385,2016-08-19 19:32:19.883350
1869993,4265451,Private room,,Westmere,15,4.5,2,1.0,48.0,2.0,-36.854272,174.715308,2016-08-19 19:13:53.532062
2621338,7944226,Private room,,Westmere,9,5.0,2,1.0,64.0,1.0,-36.853428,174.726324,2016-08-19 18:29:37.977010
11590011,59672186,Private room,,Durham Green,1,,2,1.0,58.0,2.0,-36.838128,174.659891,2016-08-19 19:06:58.352751
620074,971319,Private room,,Grey Lynn West,22,4.0,2,1.0,36.0,2.0,-36.855303,174.733841,2016-08-19 18:47:11.464438
14284826,86621742,Private room,,Ponsonby West,0,,2,1.0,68.0,12.0,-36.853548,174.738823,2016-08-19 18:31:53.242219
12953324,71177665,Private room,,Ponsonby East,0,,2,1.0,90.0,2.0,-36.848301,174.738124,2016-08-19 19:10:47.638956
7313264,1361353,Private room,,Ponsonby East,22,5.0,2,1.0,75.0,,-36.84858,174.741974,2016-08-19 19:38:05.236940
7549474,19884267,Private room,,Ponsonby East,33,5.0,2,1.0,71.0,2.0,-36.855258,174.743686,2016-08-19 19:15:46.263662
12921914,70895117,Private room,,Herne Bay,0,,1,1.0,32.0,2.0,-36.84121,174.737595,2016-08-19 19:08:28.362375
12714253,6514305,Private room,,Ponsonby West,0,,2,1.0,74.0,1.0,-36.850222,174.736752,2016-08-19 18:46:39.583235
14285975,21191458,Private room,,Ponsonby West,0,,2,1.0,150.0,1.0,-36.84994,174.736531,2016-08-19 18:16:14.900388
12206305,65639425,Private room,,Freemans Bay,1,,2,1.0,60.0,1.0,-36.856235,174.747054,2016-08-19 19:28:54.819009
1470544,6487538,Private room,,Te Atatu Central,5,5.0,2,1.0,37.0,2.0,-36.839406,174.660076,2016-08-19 18:29:44.874932
2028920,6973151,Private room,,Ponsonby East,208,5.0,3,1.0,71.0,1.0,-36.850752,174.742329,2016-08-19 19:28:36.578623
14156583,10183708,Private room,,Herne Bay,0,,2,1.0,45.0,2.0,-36.844752,174.735963,2016-08-19 18:49:46.335676
9973759,41956997,Private room,,Ponsonby West,1,,2,1.0,71.0,1.0,-36.848918,174.727276,2016-08-19 18:38:29.799809
4335769,21501721,Private room,,Ponsonby East,21,5.0,2,1.0,19.0,1.0,-36.852177,174.742461,2016-08-19 19:29:31.484696
9944677,1580039,Private room,,Ponsonby West,2,,2,1.0,81.0,1.0,-36.849042,174.731589,2016-08-19 19:13:09.784654
6327480,32930554,Private room,,Point Chevalier East,1,,2,1.0,53.0,1.0,-36.852751,174.703654,2016-08-19 18:21:01.348423
3395650,13798108,Private room,,Westmere,37,5.0,2,1.0,60.0,2.0,-36.854162,174.729585,2016-08-19 18:37:41.816922
13867584,81997020,Private room,,Herne Bay,0,,2,1.0,139.0,1.0,-36.842029,174.733461,2016-08-19 19:37:30.698890
12681513,9075143,Private room,,Ponsonby West,0,,2,1.0,65.0,2.0,-36.848951,174.729642,2016-08-19 18:28:15.848709
10710637,1834559,Private room,,Westmere,2,,2,1.0,75.0,2.0,-36.853557,174.717652,2016-08-19 18:47:35.007933
397364,1985455,Private room,,Westmere,2,,2,1.0,135.0,2.0,-36.853128,174.722789,2016-08-19 19:26:38.134653
1729406,661884,Private room,,Westmere,31,4.5,2,1.0,40.0,1.0,-36.852757,174.728063,2016-08-19 18:52:00.261005
10816517,53673278,Private room,,Westmere,8,4.5,2,1.0,48.0,1.0,-36.856504,174.718363,2016-08-19 18:33:15.871208
6614342,8945394,Private room,,Herne Bay,10,5.0,2,1.0,81.0,1.0,-36.844257,174.733761,2016-08-19 19:24:23.839400
11557408,61037085,Private room,,Westmere,1,,2,1.0,90.0,1.0,-36.852439,174.72133,2016-08-19 19:48:12.105482
9844314,50688907,Private room,,Point Chevalier West,9,4.5,2,1.0,41.0,1.0,-36.857429,174.702515,2016-08-19 19:47:22.425180
14167466,30954041,Private room,,Westmere,0,,2,1.0,34.0,1.0,-36.856124,174.716799,2016-08-19 19:05:25.684971
7534654,9518947,Private room,,Newmarket,8,5.0,2,1.0,112.0,1.0,-36.866577,174.781181,2016-08-19 19:15:38.219070
8461977,1380120,Private room,,Newmarket,9,5.0,2,1.0,75.0,2.0,-36.864797,174.771963,2016-08-19 19:03:13.146404
8651170,9411000,Private room,,Newmarket,18,5.0,2,1.0,68.0,1.0,-36.864301,174.780963,2016-08-19 18:27:30.939312
13984134,39356703,Private room,,Newmarket,1,,2,1.0,34.0,1.0,-36.866403,174.781182,2016-08-19 18:52:57.142850
13347818,75647512,Private room,,Freemans Bay,0,,1,1.0,32.0,14.0,-36.85533,174.754408,2016-08-19 19:46:15.344600
10019503,19673833,Private room,,Auckland Central West,0,,2,1.0,57.0,1.0,-36.85699,174.758098,2016-08-19 18:38:52.587554
12028433,64374912,Private room,,Auckland Central West,0,,1,1.0,41.0,10.0,-36.852089,174.756816,2016-08-19 19:23:02.248741
9753260,4810601,Private room,,Auckland Central West,10,4.5,1,1.0,59.0,2.0,-36.848059,174.755981,2016-08-19 18:51:52.134038
9716734,50156477,Private room,,Auckland Central West,10,5.0,2,1.0,57.0,2.0,-36.84789,174.756262,2016-08-19 19:15:52.474046
8377695,13840106,Private room,,Auckland Central East,2,,2,1.0,135.0,1.0,-36.848545,174.767126,2016-08-19 18:18:16.821554
10415730,50097032,Private room,,Auckland Harbourside,0,,2,1.0,74.0,1.0,-36.845816,174.774908,2016-08-19 19:00:43.599935
6276683,26747415,Private room,,Auckland Central West,1,,2,1.0,74.0,1.0,-36.855454,174.759526,2016-08-19 18:58:58.776674
9313365,35531044,Private room,,Auckland Central West,2,,2,1.0,45.0,1.0,-36.853614,174.758142,2016-08-19 19:12:55.102199
12890868,70570428,Private room,,Freemans Bay,0,,2,1.0,150.0,2.0,-36.857059,174.754065,2016-08-19 18:57:14.309060
14288067,84438530,Private room,,Auckland Central West,1,,2,1.0,48.0,1.0,-36.853355,174.7597,2016-08-19 18:34:26.813052
6348161,26747415,Private room,,Auckland Central West,7,4.0,1,1.0,52.0,1.0,-36.856334,174.759988,2016-08-19 18:44:57.703715
3911381,19596336,Private room,,Auckland Central West,3,5.0,2,1.0,41.0,1.0,-36.849508,174.758006,2016-08-19 18:46:11.043432
11676140,60303563,Private room,,Auckland Central West,1,,2,1.0,64.0,1.0,-36.85058,174.75797,2016-08-19 18:53:06.824962
10768431,1578607,Private room,,Auckland Central West,12,4.5,2,1.0,59.0,1.0,-36.850838,174.75675,2016-08-19 19:31:53.272599
6276702,26747415,Private room,,Auckland Central West,5,4.0,2,1.0,74.0,1.0,-36.855499,174.7588,2016-08-19 19:32:02.940809
12917178,49047431,Private room,,Freemans Bay,0,,2,1.0,60.0,1.0,-36.853539,174.753043,2016-08-19 19:19:36.740813
13805670,81223258,Private room,,Newton,0,,4,1.0,57.0,1.0,-36.859844,174.753274,2016-08-19 18:35:59.393905
12850952,7943947,Private room,,Auckland Central West,0,,1,1.0,55.0,2.0,-36.8572,174.758219,2016-08-19 18:58:32.416300
7296722,26864870,Private room,,Auckland Central West,47,5.0,2,1.0,60.0,1.0,-36.853403,174.75966,2016-08-19 19:43:05.832721
6676680,26747415,Private room,,Auckland Central West,14,4.5,1,1.0,52.0,1.0,-36.85546,174.758859,2016-08-19 19:45:37.119716
9715645,50155876,Private room,,Auckland Central West,7,4.5,2,1.0,60.0,2.0,-36.855424,174.758389,2016-08-19 18:53:30.418988
5861378,1848969,Private room,,Arch Hill,16,5.0,2,1.0,41.0,2.0,-36.860362,174.752728,2016-08-19 19:29:10.337228
13194395,2898894,Private room,,Freemans Bay,0,,2,1.0,39.0,2.0,-36.858445,174.754282,2016-08-19 18:35:19.071073
13031872,72018654,Private room,,Auckland Central West,0,,2,1.0,71.0,1.0,-36.853944,174.759493,2016-08-19 19:26:42.036387
10475254,37014256,Private room,,Auckland Central West,25,5.0,1,1.0,71.0,2.0,-36.853572,174.759608,2016-08-19 18:59:57.218953
12840062,70110581,Private room,,Auckland Central West,0,,2,1.0,37.0,1.0,-36.853837,174.760013,2016-08-19 18:58:26.357378
12137275,35582890,Private room,,Auckland Central West,0,,2,1.0,60.0,1.0,-36.857618,174.758696,2016-08-19 19:27:44.671298
10517254,33765924,Private room,,Auckland Central West,1,,2,1.0,82.0,3.0,-36.851649,174.758661,2016-08-19 19:08:33.614995
2198438,9793047,Private room,,Freemans Bay,57,4.5,2,1.0,48.0,2.0,-36.851928,174.754914,2016-08-19 19:40:29.935757
10710611,20080113,Private room,,Auckland Central West,0,,1,1.0,26.0,1.0,-36.85199,174.758161,2016-08-19 19:51:26.308811
12840560,7943947,Private room,,Newton,1,,2,1.0,64.0,2.0,-36.85775,174.758506,2016-08-19 19:44:13.168897
14131264,42562709,Private room,,Grafton West,0,,2,1.0,53.0,1.0,-36.860334,174.765775,2016-08-19 19:05:35.428058
11241665,58625743,Private room,,Auckland Central West,0,,1,1.0,57.0,3.0,-36.848128,174.763544,2016-08-19 18:53:58.191222
758824,3181245,Private room,,Bayswater,9,5.0,2,1.0,49.0,3.0,-36.813933,174.772365,2016-08-19 18:31:16.363481
5384258,22071635,Private room,,Mt Victoria,6,4.5,2,1.0,64.0,2.0,-36.829549,174.796095,2016-08-19 19:31:24.066563
10754267,45281,Private room,,Stanley Bay,0,,2,1.0,68.0,1.0,-36.828465,174.774192,2016-08-19 18:53:10.519398
9797761,44915124,Private room,,Narrow Neck,0,,2,1.0,64.0,1.0,-36.815443,174.794979,2016-08-19 19:23:08.697225
7842458,22164348,Private room,,Bayswater,1,,2,1.0,64.0,1.0,-36.813392,174.776616,2016-08-19 19:00:56.918980
12789299,25322971,Private room,,Bayswater,0,,2,1.0,37.0,1.0,-36.813739,174.775523,2016-08-19 19:03:57.521004
1718342,9059484,Private room,,Narrow Neck,0,,2,1.0,64.0,4.0,-36.816162,174.78789,2016-08-19 19:36:41.842665
2198894,11217441,Private room,,Narrow Neck,5,5.0,3,1.0,98.0,1.0,-36.814925,174.792174,2016-08-19 19:21:26.242914
9577039,49575872,Private room,,Narrow Neck,0,,2,1.0,98.0,1.0,-36.816651,174.793682,2016-08-19 18:34:31.539182
3524351,17748605,Private room,,Narrow Neck,1,,2,1.0,61.0,1.0,-36.814767,174.793486,2016-08-19 19:20:58.387810
10043134,51552810,Private room,,Bayswater,0,,2,1.0,48.0,3.0,-36.810863,174.784798,2016-08-19 18:39:14.458977
7550495,39571970,Private room,,Parnell West,16,5.0,2,1.0,94.0,,-36.855001,174.781919,2016-08-19 18:19:21.477538
6133084,4464208,Private room,,Ponsonby East,113,4.5,2,1.0,48.0,1.0,-36.857028,174.742871,2016-08-19 19:31:02.594627
7582317,14074685,Private room,,Grey Lynn East,20,4.5,2,1.0,67.0,2.0,-36.861887,174.744696,2016-08-19 18:19:42.199271
585268,1571651,Private room,,Freemans Bay,34,4.5,3,1.0,97.0,2.0,-36.851085,174.750196,2016-08-19 19:22:39.444935
9452576,48982299,Private room,,Freemans Bay,8,5.0,2,1.0,94.0,1.0,-36.853749,174.747618,2016-08-19 19:45:13.995081
12375737,48116406,Private room,,Auckland Harbourside,1,,2,1.0,105.0,1.0,-36.843453,174.757461,2016-08-19 18:37:51.611326
11870948,35690195,Private room,,Auckland Central West,0,,1,1.0,34.0,1.0,-36.852256,174.760119,2016-08-19 19:01:35.269989
11987282,2053864,Private room,,Auckland Central West,2,,1,1.0,41.0,1.0,-36.856254,174.759435,2016-08-19 18:27:13.108877
